Date;Service;Departure station;Arrival station;Average journey time;Number of scheduled trains;Number of cancelled trains;Cancellation comments;Number of trains delayed at departure;Average delay of late trains at departure;Average delay of all trains at departure;Departure delay comments;Number of trains delayed at arrival;Average delay of late trains at arrival;Average delay of all trains at arrival;Arrival delay comments;Number of trains delayed > 15min;Average delay of trains > 15min (if competing with flights);Number of trains delayed > 30min;Number of trains delayed > 60min;Pct delay due to external causes;Pct delay due to infrastructure;Pct delay due to traffic management;Pct delay due to rolling stock;Pct delay due to station management and equipment reuse;Pct delay due to passenger handling (crowding, disabled persons, connections)
2018-01;National;BORDEAUX ST JEAN;PARIS MONTPARNASSE;141.0;0.0;5.0;None;289.0;11.24780854;3.693179191;None;147.0;28.43673469;6.511117534;None;110.0;346.4742866898222;44.0;8.0;36.13445378;31.09243697;10.92436975;15.96638655;5.042016807;75.91572970554272
2018-01;National;LA ROCHELLE VILLE;PARIS MONTPARNASSE;165.0;222.0;0.0;None;8.0;2.875;0.095795796;None;34.0;21.52401961;5.696096096;None;22.0;5.696096096;5.0;0.0;15.38461538;30.76923077;38.46153846;11.53846154;3.846153846;0.0
2018-01;National;PARIS MONTPARNASSE;QUIMPER;220.0;248.0;1.0;None;37.0;9.501351351;0.0;None;0.0;55.69230769;7.578947368;None;26.0;7.548387097;17.0;7.0;26.92307692;38.46153846;0.0;19.23076923;0.0;0.0
2018-01;National;PARIS MONTPARNASSE;ST MALO;156.0;102.0;0.0;None;12.0;19.9125;1.966666667;None;13.0;48.62307692;6.790686275;None;8.0;6.724757282;6.0;4.0;23.07692308;218.65088787857883;7.692307692;15.38461538;7.692307692;0.0
2018-01;National;PARIS MONTPARNASSE;ST PIERRE DES CORPS;61.0;391.0;2.0;None;61.0;0.0;0.88688946;None;71.0;12.40516432;3.346486718;None;17.0;3.346486718;6.0;0.0;21.21212121;42.42424242;9.090909091;21.21212121;6.060606061;0.0
2018-01;National;QUIMPER;PARIS MONTPARNASSE;223.0;256.0;1.0;None;0.0;16.33333333;0.579477124;None;21.0;39.0952381;5.940849673;None;21.0;5.917643229;9.0;0.0;27.77777778;55.55555556;0.0;5.555555556;5.555555556;75.91572970554272
2018-01;National;ST PIERRE DES CORPS;PARIS MONTPARNASSE;61.0;2681.206158238173;1.0;None;173.0;0.0;2.954808476;None;114.0;13.04561404;4.359739201;None;26.0;4.359739201;9.0;0.0;22.72727273;45.45454545;16.66666667;12.12121212;0.0;1.515151515
2018-01;National;TOURS;PARIS MONTPARNASSE;75.0;194.0;0.0;None;0.0;5.727777778;0.333075601;None;35.0;11.13142857;2.929295533;None;0.0;2.929295533;0.0;0.0;25.0;56.25;6.25;12.5;0.0;0.0
2018-01;National;NANTES;STRASBOURG;303.0;39.0;0.0;None;22.0;2.835606061;1.664957265;None;5.0;32.98666667;5.741025641;None;0.0;5.741025641;0.0;0.0;0.0;0.0;33.33333333;33.33333333;0.0;0.0
2018-01;National;PARIS EST;STRASBOURG;112.0;2681.206158238173;9.0;None;0.0;6.267006803;0.576323024;None;14.0;27.3;0.77814433;None;11.0;0.77814433;0.0;0.0;25.0;8.333333333;8.333333333;50.0;8.333333333;0.0
2018-01;National;DUNKERQUE;PARIS NORD;116.0;245.0;1.0;None;14.0;8.928571429;0.0;None;28.0;28.92559524;4.737363388;None;19.0;4.737363388;8.0;2.0;0.0;26.08695652;26.08695652;17.39130435;4.347826087;0.0
2018-01;National;LILLE;LYON PART DIEU;190.0;292.0;8.0;None;122.0;10.04112022;4.375234742;None;36.0;56.1587963;7.582805164;None;31.0;346.4742866898222;22.0;13.0;40.0;30.0;5.0;20.0;5.0;0.0
2018-01;National;BORDEAUX ST JEAN;TOURCOING;301.0;31.0;0.0;None;13.0;0.0;1.180645161;None;3.0;43.33333333;58.47323134889636;None;3.0;6.548387097;3.0;0.0;0.0;33.33333333;66.66666667;0.0;0.0;0.0
2018-01;National;PARIS VAUGIRARD;NANTES;140.0;2681.206158238173;0.0;None;15.0;11.64111111;2.522043011;None;10.0;34.23166667;7.565591398;None;6.0;7.565591398;3.0;3.0;30.0;30.0;20.0;10.0;10.0;0.0
2018-01;National;RENNES;PARIS VAUGIRARD;111.0;31.0;0.0;None;872.2920065252855;2.857142857;0.64516129;None;2.0;24.33333333;3.160752688;None;2.0;0.0;0.0;0.0;50.0;0.0;50.0;0.0;0.0;0.0
2018-01;National;TOURCOING;BORDEAUX ST JEAN;286.0;31.0;0.0;None;5.0;8.4;1.35483871;None;0.0;47.86428571;0.0;None;7.0;12.04408602;3.0;1.0;0.0;0.0;33.33333333;0.0;0.0;0.0
2018-01;National;CHAMBERY CHALLES LES EAUX;PARIS LYON;184.0;278.0;1.0;None;0.0;118.28872062060988;8.019795427;None;69.0;38.49082126;58.47323134889636;None;60.0;10.27063779;26.0;12.0;24.13793103;17.24137931;32.75862069;20.68965517;3.448275862;1.724137931
2018-01;National;MONTPELLIER;PARIS LYON;206.0;340.0;2.0;None;0.0;10.99180328;4.073619329;None;58.0;345.3266769288485;0.0;None;58.0;7.465581854;31.0;11.0;22.0;38.0;0.0;22.0;2.0;4.0
2018-01;National;MULHOUSE VILLE;PARIS LYON;168.0;0.0;8.0;None;106.0;6.577044025;2.199895833;None;24.0;34.37361111;2.280208333;None;0.0;346.4742866898222;0.0;0.0;37.5;12.5;29.16666667;4.166666667;4.166666667;12.5
2018-01;National;NICE VILLE;PARIS LYON;0.0;197.0;0.0;None;84.0;9.961309524;4.370642978;None;33.0;46.82525253;8.570981387;None;33.0;8.570981387;20.0;8.0;38.70967742;25.80645161;9.677419355;19.35483871;0.0;6.451612903
2018-01;National;PARIS LYON;CHAMBERY CHALLES LES EAUX;186.0;271.0;0.0;None;46.0;13.59311594;2.047478475;None;36.0;39.0712963;5.813653137;None;26.0;0.0;17.0;5.0;14.70588235;26.47058824;20.58823529;32.35294118;0.0;0.0
2018-01;National;PARIS LYON;LYON PART DIEU;119.0;630.0;1.0;None;60.0;9.3725;30.62165761769024;None;61.0;30.51311475;2.824933757;None;49.0;2.824933757;0.0;0.0;22.03389831;44.06779661;11.86440678;20.33898305;1.694915254;0.0
2018-01;International;GENEVE;PARIS LYON;194.0;230.0;1.0;None;161.0;3.735817805;2.861863173;None;36.0;40.26990741;7.178238719;None;36.0;7.178238719;19.0;7.0;69.44444444;16.66666667;5.555555556;0.0;5.555555556;2.777777778
2018-01;International;MADRID;MARSEILLE ST CHARLES;0.0;16.0;1.0;None;6.0;3.5;1.0;None;3.0;20.27222222;7.255555556;None;3.0;0.0;0.0;0.0;0.0;0.0;66.66666667;33.33333333;0.0;0.0
2018-01;International;PARIS EST;FRANCFORT;226.0;0.0;2.0;None;872.2920065252855;6.242105263;0.611428571;None;20.0;29.3;7.836380952;None;20.0;346.4742866898222;6.0;2.0;30.0;30.0;25.0;15.0;0.0;0.0
2018-01;National;BREST;PARIS MONTPARNASSE;225.0;284.0;3.0;None;4.0;2.25;0.0;None;19.0;39.18333333;5.389501779;None;19.0;5.370390071;5.0;2.0;33.33333333;53.33333333;0.0;13.33333333;0.0;0.0
2018-01;National;PARIS MONTPARNASSE;ANGOULEME;126.0;239.0;94.94596247960848;None;36.0;6.347685185;0.751560284;None;28.0;18.02202381;4.113191489;None;15.0;4.113191489;3.0;3.0;0.0;38.46153846;0.0;0.0;3.846153846;0.0
